Date,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
2011-07-31,116.02664972,157.22058482,102.86904926,122.71291831,128.69942798,112.63416558,135.74019848,141.21047581,117.48964391,92.437979365,189.10475713,117.65831691,109.94710077,106.09313924,120.26669048,118.54803837,118.18219638,137.80925673,144.21475428,157.03298833,130.76725116,75.51008375,111.18354409,119.77759804,113.63974954,150.75396708,115.92374795,87.186684721,126.76719282,150.37108107,135.04846893,149.91496673,115.16160502,162.69925335,97.496421823,129.96445163,131.42803831,146.56454546,140.86362033,115.03457481,134.51662826,120.46992661,127.43557345,120.50754118,158.44371067,155.93199288,129.87991183,129.85269256,116.50202731,163.83397261
2011-08-31,115.42058799,156.58015626,103.06002364,122.69016211,127.96668533,112.75985454,134.5885686,140.68482479,117.54516702,92.101083902,188.52253656,117.32765899,109.13670262,105.76035184,120.04694507,118.24105828,118.03102119,137.04420982,144.09970677,156.52260714,130.18937696,75.281068269,110.56811744,119.04623657,113.01353931,150.89118308,115.83340966,87.009111486,126.23206681,148.81355033,134.4344473,149.78589104,114.78533045,163.31050103,96.818700149,129.14535431,131.39422183,145.99267402,140.1068603,115.098086,134.38724684,119.90203025,126.46977507,120.21893952,158.45664432,155.11397747,128.97291403,130.00044655,115.88186845,163.70389626
2011-09-30,114.4285269,155.76389348,103.23930091,122.66739129,127.27224991,112.43048615,133.25055518,139.95802652,117.76543304,91.389341997,187.63922157,116.98850422,107.806915,105.29972692,119.6325599,117.55981538,117.43102159,136.39964628,143.77235474,155.93157895,129.31984423,74.799948767,109.85680358,118.4627582,111.62252588,150.00120413,115.37254556,86.738599037,125.49844717,146.88446337,133.47243414,148.90876608,114.34892341,163.54592874,95.815852947,128.14404248,130.50462955,144.81675305,139.01139569,115.46875241,134.15667841,119.02777778,125.76995997,119.71945718,158.25605474,154.15381951,127.92987531,129.97077775,114.84359957,162.91438594
2011-10-31,113.38231973,154.7774215,103.40660568,122.65426445,126.5298549,111.68065712,131.84707583,139.17040899,117.60711507,90.24977182,186.91688177,116.75780703,106.34001618,104.87795579,118.96188637,116.83215679,116.70630696,135.90918996,143.36689241,154.9390822,128.21956871,74.437133223,109.01906887,118.0419143,110.47554336,148.45589755,114.47518964,86.194571316,124.71663577,145.3522955,132.65468986,147.62174811,113.80522725,163.53916153,94.962428408,127.44640548,129.45925305,143.38499399,138.15335384,115.60966856,133.69052407,118.30230163,125.42032905,119.08824875,157.7689146,152.9803523,127.03192392,129.83559147,113.61914881,161.84536269
2011-11-30,112.85476762,153.81484506,103.95133415,122.37197829,126.08667018,110.73044825,130.46038974,138.36310136,117.01715296,89.109321352,186.78867177,116.57384567,104.88586071,104.18901147,118.04581911,116.17439597,115.97327104,135.39006408,142.68285076,153.56556124,127.09759655,73.761677703,107.51511059,117.59672534,109.69305899,146.94010483,113.4479168,85.468298335,123.83394738,144.2948645,132.24980143,146.1734585,113.4724961,163.50154579,94.355587285,127.23872513,128.32113553,142.08410237,137.54463325,115.20054942,133.01421986,117.76350096,125.28159817,118.40019955,157.02933467,151.75939995,125.95251912,129.58138925,112.58810575,161.06930558
2011-12-31,112.78429429,153.05920996,104.52982301,121.85517428,125.41840297,109.99865455,129.24450741,137.54522021,116.37340446,88.11637019,187.23626189,116.33632602,103.20894514,103.16118043,117.06775769,115.56605961,115.48216074,134.8754587,141.63478511,152.24194431,125.85237087,72.528583378,105.63202045,117.2555311,108.84037332,145.84763891,112.78763847,84.65381956,122.57919593,143.21016749,132.05827589,144.90853851,113.03603397,163.74743445,93.621326667,127.25959954,126.89419816,141.01675497,136.92845412,114.36229166,132.28305945,117.10339381,125.33057349,117.92638454,156.20233527,150.57016911,124.28008975,129.26710055,111.68969219,160.79676266
2012-01-31,112.89430209,152.63779312,105.07551856,121.66538002,124.63526004,109.7551086,128.27994037,136.71002179,116.16158812,87.398069017,188.18737459,116.16299843,101.86660603,102.18781604,116.53249949,115.05784518,115.34196706,134.72725935,140.4998593,151.15754552,124.80137174,71.427470779,104.20582024,117.12940215,108.12674949,145.40079593,112.90449273,84.012688515,121.15693006,141.90196654,131.74964186,144.02835734,112.40514157,164.46385956,92.899005595,127.36667553,125.68531071,140.15340579,136.32571441,113.41349797,131.77690451,116.6327561,125.40300403,118.07760627,155.53122416,149.91162164,122.83172698,129.0413212,110.68300026,160.93074907
2012-02-29,113.23719972,152.75955114,106.51008453,122.09610957,124.7848587,110.51572394,128.07357225,136.08781302,117.21992322,87.648798824,189.63893627,116.76682744,101.80471902,101.78134956,116.81208913,114.97723633,115.59540483,135.19364147,139.74737516,150.87982217,124.55323013,71.405865209,104.27922363,117.25020781,108.1489348,145.86550333,113.77583794,84.001449062,120.32548279,140.78438653,131.43119742,143.63119144,112.11869938,165.74375735,92.811542927,127.87292119,125.46054173,139.66186123,135.90233752,113.01163915,131.8398574,116.78689896,126.10175993,119.12654631,155.25638693,150.09794892,122.90477074,129.08654027,109.99780116,161.45404945
2012-03-31,113.950344,153.68042912,108.93015728,122.94998935,126.3493283,112.34814617,128.56086648,136.12185688,119.35349212,89.102466413,191.36212341,118.65077467,102.97118239,102.3318574,117.6888495,115.67719954,116.3771657,136.02795347,139.76888802,152.10643239,125.16359788,72.813607897,106.13283332,117.57109198,109.03571082,147.28213033,115.06577214,84.820621679,120.64098743,140.68573522,131.63057364,143.8521755,112.46928509,167.481463,93.687339558,128.8509888,126.58884563,140.121005,135.78003278,113.48214924,132.54997358,117.6374757,127.5968028,120.77224439,155.49957835,151.3737264,124.59097061,129.53693644,110.48353037,162.47573587
2012-04-30,115.12182132,155.39470384,111.71441836,123.99972245,128.3625239,114.74293362,129.30297739,136.67269875,121.4205532,91.150128531,193.02459897,121.33895104,104.84528731,103.73322364,118.94163467,117.05049728,117.46522211,136.85168071,140.56718505,154.5850769,126.44051257,75.082164259,109.03206736,118.01146648,110.67980888,149.13070396,116.52977344,86.361478544,122.00052129,141.81745146,132.34507136,144.69553199,113.27025832,169.28258883,95.325920546,129.88407612,128.74680668,141.88018557,136.01607766,114.45147323,133.72149149,118.89742795,129.279198,122.56908492,156.176762,153.57880175,127.20751052,130.28821113,112.18098824,163.93073885
2012-05-31,116.4094368,157.40328069,114.67525442,124.96289917,130.1332809,116.99136334,130.15010819,137.2959415,122.86921586,92.953796758,194.32859559,123.94986396,106.6075449,105.14393846,120.57820317,118.65590222,118.45459643,137.47933562,141.6606762,156.98354176,128.17406687,77.268206934,111.94787953,118.55243983,112.44378751,150.77032627,117.83378189,88.262413866,123.70486912,143.2840665,133.23599881,146.1567878,114.26929318,170.85950702,97.051605736,130.68971883,130.91214401,143.95741245,136.40953723,115.26699975,134.98894853,120.07476064,130.69518411,124.18734706,157.05045914,155.87507009,129.94541284,131.00403124,113.97884095,165.34447509
2012-06-30,117.14982695,159.06774295,117.66348338,125.61834463,131.78511599,118.35542014,130.85470159,137.90144669,123.68126363,94.198176561,195.1131169,125.87223785,107.42159919,105.95011759,121.96082093,120.03820376,119.02546947,138.02685106,142.51888704,158.40560399,129.91679851,78.691282469,114.06170458,119.08718717,113.52230018,151.87803728,118.58872698,90.045360672,124.98472344,144.26685626,134.18881807,147.83382351,114.99633162,172.42582378,98.242012746,131.2632224,132.4716048,145.35377422,136.63216023,116.02701752,136.13875893,120.96632617,131.80726462,125.39887401,157.90710667,157.51109205,131.90938781,131.48491455,115.04335997,166.30166115
